Time,ModBitCount,CipherBitCount
35560,50,17
34460,43,9
36260,43,17
35160,31,26
33900,39,17
33520,43,17
51200,46,9
46340,49,17
39240,47,17
35840,44,9
35600,47,17
37460,49,17
59960,47,17
36460,47,9
33160,41,17
36440,34,34
37640,47,26
56880,49,34
40780,41,9
33540,43,9
35460,44,26
36220,40,9
34540,41,17
36580,48,9
61520,41,17
54940,48,9
35080,44,26
40080,42,26
47580,36,17
38400,44,26
49840,46,17
60240,47,17
63820,48,17
63960,50,26
59300,49,34
56720,43,9
59280,44,9
110300,51,34
67560,40,17
40400,60,17
45660,48,26
34940,45,17
40320,46,9
80340,45,9
34440,43,9
35860,43,9
38160,48,34
38040,46,26
35200,50,17
59400,56,9
37440,50,9
37840,40,26
36400,39,9
35000,42,9
36980,45,17
36740,53,9
36720,50,26
47500,43,17
38460,46,26
38180,45,26
55060,45,9
80800,43,26
36640,41,26
38780,46,9
37420,45,9
38280,45,9
37960,53,17
37100,52,9
36900,51,17
37380,46,17
39380,50,34
39020,43,17
44720,38,9
37920,40,34
37480,50,17
38860,43,34
47140,48,9
36260,46,9
35940,47,9
39640,52,26
40880,48,17
44380,45,34
45440,59,34
51480,46,17
39880,55,17
59700,49,9
38780,44,17
37560,44,17
37600,49,9
37200,47,17
38220,50,26
37180,56,26
37900,44,9
38260,45,9
41660,43,17
49580,53,17
40480,40,26
69340,43,17
39780,45,17
39440,54,9
42340,49,17
39960,49,17
41200,47,17
38400,45,9
39500,44,26
37840,43,26
36980,47,26
36520,44,17
39020,54,17
54920,42,17
40480,52,26
37820,53,9
38660,47,9
36780,52,9
47660,48,17
38320,49,26
38760,51,26
38800,51,17
43200,47,17
44920,50,26
44300,50,9
43360,48,17
42540,53,9
43460,52,17
43540,51,34
42040,52,9
43240,51,17
45000,52,34
43300,49,26
43420,57,9
45100,54,17
43920,53,9
67120,44,17
42760,43,34
42500,49,9
44540,50,17
50280,50,26
44200,51,9
41820,50,9
43440,48,17
43120,53,17
44860,60,9
47460,58,26
43240,51,9
62800,52,17
42900,50,9
45320,52,34
44940,54,17
44560,48,17
46620,55,17
45500,62,17
46580,50,9
58200,56,9
56080,44,9
45780,51,17
70580,56,34
45300,50,9
45940,58,17
50040,59,17
44000,50,9
47680,49,26
44780,55,26
47180,48,17
46220,53,39
46560,47,17
46540,52,26
71740,48,9
47660,57,26
47760,49,17
45060,52,34
47620,39,17
48220,49,26
49240,59,9
45720,57,26
45400,51,9
47900,47,26
46540,57,17
57860,52,9
48360,54,17
47360,57,26
47220,54,17
48120,53,26
49000,62,9
50680,47,9
53080,62,26
48320,47,26
49160,48,26
47980,54,9
65740,48,9
45520,51,26
55320,47,39
46000,46,26
50020,54,9
48300,54,17
47980,48,9
48020,47,26
48040,56,9
46980,43,17
49420,56,39
94280,50,9
59340,58,17
75340,63,34
56720,52,54
50860,55,26
50440,53,17
50360,57,26
48000,49,34
48460,42,17
50020,51,26
49580,54,34
77680,51,17
49060,53,9
61640,49,26
50900,46,17
48920,56,17
51200,49,17
48660,56,9
60000,45,17
48240,67,9
45940,46,9
49220,46,17
49460,47,17
46140,48,17
49300,53,26
47400,52,26
50260,56,26
47600,58,9
46880,53,17
63200,51,17
50540,48,17
56060,57,34
59460,57,26
50840,60,9
49720,47,17
46960,60,9
50440,55,9
47040,58,9
49020,54,34
50060,59,26
50420,51,26
48600,45,17
72860,54,17
72880,58,9
51560,53,9
48320,42,9
51100,53,17
52680,50,26
51740,55,26
49420,52,17
50580,45,26
51520,53,26
50100,59,26
72880,58,9
51060,62,34
48220,58,17
48840,67,9
50800,56,26
53380,55,17
51120,49,17
50620,54,9
76560,62,17
58680,56,39
122180,50,26
64400,58,17
94240,47,17
49600,61,9
57620,55,26
61240,63,9
54480,56,26
58340,67,17
55720,54,9
57320,49,26
103500,58,17
64300,47,26
61440,51,9
53960,50,17
48740,54,34
51800,59,9
50260,61,17
51500,59,34
49440,59,17
53380,58,26
52220,58,26
92740,62,17
62280,47,26
69680,51,26
62720,61,9
47540,54,9
52180,64,26
53700,67,26
53460,59,26
52360,58,9
50940,59,9
73140,51,17
52120,56,26
52440,65,26
51120,54,17
64360,53,17
